vin,year,make,model,price,exterior,interior,miles,url,dealer,phone,address,zipcode
2HGFC1E59LH700855,2020,Honda,Civic,28900.00,Gray,,"11,691",https://www.autotrader.com/cars-for-sale/vehicle/728464050,Sterling Acura,,4801 S INTERSTATE 35,78744
19XFC1F31HE021063,2017,Honda,Civic,18900.00,Blue,Gray,"57,940",https://www.autotrader.com/cars-for-sale/vehicle/728463114,Mercedes-Benz of Austin,6784487530,6757 Airport Blvd,78752
19XFC2F86HE037535,2017,Honda,Civic,19699.00,Silver,Black,"32,656",https://www.autotrader.com/cars-for-sale/vehicle/728480069,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
SHHFK7H91KU216944,2019,Honda,Civic,25290.00,Blue,Black,"21,828",https://www.autotrader.com/cars-for-sale/vehicle/728439019,Toyota Of North Austin,7378430244,8400 Research Boulevard,78758
SHHFK8G7XMU203411,2021,Honda,Civic,39936.00,Blue,Unavail,"28,853",https://www.autotrader.com/cars-for-sale/vehicle/723830827,Audi South Austin,5126606700,4738 S IH 35 FRONTAGE RD,78745
2HGFE2F54NH557959,2022,Honda,Civic,24195.00,Blue,Black,"27,271",https://www.autotrader.com/cars-for-sale/vehicle/728995825,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
2HGFC1E52LH707470,2020,Honda,Civic,27414.00,Blue,Black,"25,260",https://www.autotrader.com/cars-for-sale/vehicle/728633957,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFC3B37JH354803,2018,Honda,Civic,20000.00,Black,Black,"50,033",https://www.autotrader.com/cars-for-sale/vehicle/727731890,Leif Johnson Ford,5124543711,501 E. Koenig Ln,78751
2HGFE2F51RH554877,2024,Honda,Civic,25999.00,Red,Black,"2,927",https://www.autotrader.com/cars-for-sale/vehicle/707394144,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
2HGFE2F50NH534615,2022,Honda,Civic,25282.00,Red,Black,"17,092",https://www.autotrader.com/cars-for-sale/vehicle/727104457,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFE2F53RH568022,2024,Honda,Civic,26897.00,Offwhite,Black,"3,668",https://www.autotrader.com/cars-for-sale/vehicle/725897507,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFE2F5XRH564761,2024,Honda,Civic,26997.00,Offwhite,Black,"2,684",https://www.autotrader.com/cars-for-sale/vehicle/726530164,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
19XFL1H74RE016912,2024,Honda,Civic,29142.00,Gray,Gray,"5,436",https://www.autotrader.com/cars-for-sale/vehicle/722945936,Capitol Chevrolet,8339183855,6200 South  I-35,78745
SHHFK7H47JU208141,2018,Honda,Civic,20202.00,Black,Black,"43,194",https://www.autotrader.com/cars-for-sale/vehicle/717643295,Covert CDJR Bee Cave,5129006192,16501 SWEETWATER TRAIL,78738
SHHFK7H62MU223412,2021,Honda,Civic,23800.00,Gray,Black,"28,874",https://www.autotrader.com/cars-for-sale/vehicle/728575861,Round Rock Honda,5129046900,2301 N INTERSTATE 35,78664
2HGFE2F59RH569434,2024,Honda,Civic,26435.00,Gray,Black,"3,018",https://www.autotrader.com/cars-for-sale/vehicle/710793160,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
2HGFE1F95NH317333,2022,Honda,Civic,26754.00,Offwhite,Black,"17,180",https://www.autotrader.com/cars-for-sale/vehicle/727699519,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
2HGFE2F55RH568524,2024,Honda,Civic,27251.00,Red,Black,"2,486",https://www.autotrader.com/cars-for-sale/vehicle/710673870,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
2HGFE2F55RH560679,2024,Honda,Civic,27705.00,Blue,Black,"4,222",https://www.autotrader.com/cars-for-sale/vehicle/708810749,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
2HGFE1F95RH310145,2024,Honda,Civic,28843.00,Gray,Black,"4,907",https://www.autotrader.com/cars-for-sale/vehicle/725598962,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
1HGEM21135L065509,2005,Honda,Civic,5500.00,Beige,Black,"106,952",https://www.autotrader.com/cars-for-sale/vehicle/728714934,Continental Automotive Group: Austin Subaru,5123816150,8100 BURNET RD,78757
19XFL1H75RE028535,2024,Honda,Civic,27411.00,,Black,"4,523",https://www.autotrader.com/cars-for-sale/vehicle/728223152,Covert Hutto,5128452004,1200-A Highway 79 East,78634
2HGFE2F26NH545852,2022,Honda,Civic,23407.00,Offwhite,Gray,"23,362",https://www.autotrader.com/cars-for-sale/vehicle/728120316,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFE2F57RH567942,2024,Honda,Civic,26758.00,Black,Black,"3,862",https://www.autotrader.com/cars-for-sale/vehicle/725263499,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFE2F58RH564807,2024,Honda,Civic,26849.00,Blue,Black,"5,269",https://www.autotrader.com/cars-for-sale/vehicle/725562963,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFE2F57RH570128,2024,Honda,Civic,26997.00,Blue,Black,"3,861",https://www.autotrader.com/cars-for-sale/vehicle/726124632,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFE2F51RH555785,2024,Honda,Civic,27339.00,Gray,Black,"2,496",https://www.autotrader.com/cars-for-sale/vehicle/728283055,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFE2F59RH579770,2024,Honda,Civic,27369.00,Offwhite,Black,"3,187",https://www.autotrader.com/cars-for-sale/vehicle/728283072,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFE2F52NH605538,2022,Honda,Civic,25300.00,Blue,Black,"28,343",https://www.autotrader.com/cars-for-sale/vehicle/728292915,Leif Johnson Ford,5124543711,501 E. Koenig Ln,78751
19XFL1H85RE000615,2024,Honda,Civic,29500.00,White,Black,"14,229",https://www.autotrader.com/cars-for-sale/vehicle/724099847,Leif Johnson Ford,5124543711,501 E. Koenig Ln,78751
2HGFC3B96KH353471,2019,Honda,Civic,21199.00,Blue,Black,"44,983",https://www.autotrader.com/cars-for-sale/vehicle/727881719,BMW of Austin,18884791570,7011 McNeil Drive,78729
2HGFE1F76RH320004,2024,Honda,Civic,27697.00,Offwhite,Black,"10,218",https://www.autotrader.com/cars-for-sale/vehicle/727228063,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
19XFC1F7XME203244,2021,Honda,Civic,22498.00,Gray,Black,"29,284",https://www.autotrader.com/cars-for-sale/vehicle/725267186,KIA of Round Rock,7372708452,600 JEFFREY WAY,78665
JHMFE1F75NX006797,2022,Honda,Civic,25735.00,Black,Black,"28,117",https://www.autotrader.com/cars-for-sale/vehicle/727576928,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
19XFC2F83JE044075,2018,Honda,Civic,18612.00,Black,Offwhite,"72,970",https://www.autotrader.com/cars-for-sale/vehicle/727495257,Town North Nissan,5129564052,9160 RESEARCH BLVD STE A,78758
2HGFE2F54RH510405,2024,Honda,Civic,27283.00,Offwhite,Black,"10,358",https://www.autotrader.com/cars-for-sale/vehicle/727495251,Town North Nissan,5129564052,9160 RESEARCH BLVD STE A,78758
2HGFE2F58NH550982,2022,Honda,Civic,24436.00,Black,Black,"13,759",https://www.autotrader.com/cars-for-sale/vehicle/728401931,Honda Leander,,9550 HIGHWAY 183A,78641
19XFB4F23DE003282,2013,Honda,Civic,12975.00,Black,Gray,"58,751",https://www.autotrader.com/cars-for-sale/vehicle/728780358,Austin Texas Cars And Trucks,5128450115,10500 INTERSTATE 35 FRONTAGE ROAD,78753
SHHFK7H25JU238575,2018,Honda,Civic,18999.00,Silver,Black,"53,014",https://www.autotrader.com/cars-for-sale/vehicle/727040385,Griffith Ford of San Marcos,5123533673,2661 N IH 35,78666
2HGFC2F89LH522332,2020,Honda,Civic,20849.00,Offwhite,Black,"58,314",https://www.autotrader.com/cars-for-sale/vehicle/728623700,Honda of San Marcos,5123921313,4300 IH-35 SOUTH,78666
2HGFC2F69LH591813,2020,Honda,Civic,19852.00,Silver,Black,"63,281",https://www.autotrader.com/cars-for-sale/vehicle/728854518,Audi South Austin,5126606700,4738 S IH 35 FRONTAGE RD,78745
19XFL1H82PE006983,2023,Honda,Civic,27967.00,Offwhite,Gray,"17,890",https://www.autotrader.com/cars-for-sale/vehicle/726863067,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
2HGFG1B97BH505301,2011,Honda,Civic,7500.00,Black,Black,"89,714",https://www.autotrader.com/cars-for-sale/vehicle/721802172,Continental Automotive Group: Austin Subaru,5123816150,8100 BURNET RD,78757
2HGFE2F28PH560730,2023,Honda,Civic,23860.00,Gray,Gray,"23,654",https://www.autotrader.com/cars-for-sale/vehicle/728317137,Toyota Of North Austin,7378430244,8400 Research Boulevard,78758
2HGFC1F31MH700587,2021,Honda,Civic,23883.00,Offwhite,Offwhite,"21,568",https://www.autotrader.com/cars-for-sale/vehicle/724528153,San Marcos Toyota,5123921999,5101 S INTERSTATE 35,78666
2HGFC2F61LH575363,2020,Honda,Civic,21343.00,Gray,Black,"27,154",https://www.autotrader.com/cars-for-sale/vehicle/727238525,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
19XFB2F89DE029944,2013,Honda,Civic,10784.00,Black,Black,"123,258",https://www.autotrader.com/cars-for-sale/vehicle/725936132,AutoNation USA Austin,,15718 N INTERSTATE 35,78728
2HGFG4A53CH704475,2012,Honda,Civic,11000.00,Blue,Black,"100,625",https://www.autotrader.com/cars-for-sale/vehicle/720413493,Prestige Autoplex LLC,5125761706,15402 Ranch Rd 620 N,78717
2HGFE2F54NH527635,2022,Honda,Civic,24903.00,Black,Black,"25,854",https://www.autotrader.com/cars-for-sale/vehicle/728141823,Honda of San Marcos,5123921313,4300 IH-35 SOUTH,78666
19XFB2F55CE094388,2012,Honda,Civic,10995.00,Silver,,"83,183",https://www.autotrader.com/cars-for-sale/vehicle/675110785,Whiteside Motors,5124585631,1400 W Koenig Ln,78756
SHHFK7H91LU220915,2020,Honda,Civic,19900.00,Gray,Offwhite,"105,837",https://www.autotrader.com/cars-for-sale/vehicle/727772176,Mercedes-Benz of Austin,6784487530,6757 Airport Blvd,78752
19XFA1F32AE070882,2010,Honda,Civic,6993.00,Gray,,"124,371",https://www.autotrader.com/cars-for-sale/vehicle/725456273,Roger Beasley Mazda Central,18666745314,6825 Burnet Rd,78757
2HGFE2F50NH544934,2022,Honda,Civic,23393.00,Offwhite,Black,"58,605",https://www.autotrader.com/cars-for-sale/vehicle/726863062,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
JHMFE1F72NX006482,2022,Honda,Civic,24571.00,Offwhite,Black,"50,823",https://www.autotrader.com/cars-for-sale/vehicle/727523229,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
19XFL1H87NE006507,2022,Honda,Civic,26704.00,Gray,Black,"43,690",https://www.autotrader.com/cars-for-sale/vehicle/727776674,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
2HGFE2F52NH542781,2022,Honda,Civic,24671.00,Gray,Black,"30,082",https://www.autotrader.com/cars-for-sale/vehicle/726446740,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFE2F57NH536183,2022,Honda,Civic,25059.00,Gray,Black,"35,049",https://www.autotrader.com/cars-for-sale/vehicle/728120318,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
2HGFC2F60MH504155,2021,Honda,Civic,20633.00,Blue,Black,"13,928",https://www.autotrader.com/cars-for-sale/vehicle/728073801,Honda Leander,,9550 HIGHWAY 183A,78641
JHMFL5G48PX002103,2023,Honda,Civic,45860.00,Blue,Unavail,"11,940",https://www.autotrader.com/cars-for-sale/vehicle/728827713,Honda Leander,,9550 HIGHWAY 183A,78641
SHHFK7H95JU402100,2018,Honda,Civic,19990.00,Silver,Black,"91,977",https://www.autotrader.com/cars-for-sale/vehicle/727948497,AutoNation Chevrolet West Austin,18882047605,11400 RESEARCH BLVD,78759
19XFB2F89DE057906,2013,Honda,Civic,10950.00,Blue,Beige,"129,173",https://www.autotrader.com/cars-for-sale/vehicle/728159154,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
19XFB2F90CE011808,2012,Honda,Civic,11604.00,Black,Gray,"87,189",https://www.autotrader.com/cars-for-sale/vehicle/727714407,Round Rock Nissan,5126493756,3050 North I H 35,78681
2HGFE1E52NH474820,2022,Honda,Civic,30530.00,Gray,,"23,206",https://www.autotrader.com/cars-for-sale/vehicle/727866389,Hewlett Volkswagen,5126813500,7951 Hewlett Loop Road,78626
JHMFC1F94KX009421,2019,Honda,Civic,20345.00,Red,Black,"71,342",https://www.autotrader.com/cars-for-sale/vehicle/726898805,Honda Leander,,9550 HIGHWAY 183A,78641
SHHFK7H98KU419703,2019,Honda,Civic,21996.00,Gray,Black,"46,508",https://www.autotrader.com/cars-for-sale/vehicle/724637053,Honda Leander,,9550 HIGHWAY 183A,78641
2HGFC4B56JH304319,2018,Honda,Civic,16575.00,Red,Unavail,"59,525",https://www.autotrader.com/cars-for-sale/vehicle/720606702,Austin Texas Cars And Trucks,5128450115,10500 INTERSTATE 35 FRONTAGE ROAD,78753
2HGFB2F55DH565253,2013,Honda,Civic,10597.00,Black,,"125,428",https://www.autotrader.com/cars-for-sale/vehicle/725281476,AutoNation Toyota South Austin,18662581467,4800 South I-35,78745
2HGFC2F51HH573532,2017,Honda,Civic,13992.00,Gray,,"99,222",https://www.autotrader.com/cars-for-sale/vehicle/727617181,AutoNation Toyota South Austin,18662581467,4800 South I-35,78745
2HGFE2F56PH505106,2023,Honda,Civic,26585.00,Offwhite,Black,"31,895",https://www.autotrader.com/cars-for-sale/vehicle/728379952,Kia of North Austin,5125831900,13175 N HIGHWAY 183,78750
2HGFE2F59NH524908,2022,Honda,Civic,24132.00,Black,Black,"52,733",https://www.autotrader.com/cars-for-sale/vehicle/727523231,Howdy Honda,5124434300,5519 E BEN WHITE BLVD,78741
19XFC1F36HE018028,2017,Honda,Civic,14499.00,Black,Black,"106,151",https://www.autotrader.com/cars-for-sale/vehicle/725533630,EchoPark Automotive San Antonio (New Braunfels),,3191 N INTERSTATE 35 FRONTAGE RD,78130
19XFB2F86DE016424,2013,Honda,Civic,13000.00,Blue,Black,"94,205",https://www.autotrader.com/cars-for-sale/vehicle/728174369,Subaru of Georgetown,5128434555,7501 S INTERSTATE 35,78626
2HGFC3B31KH356659,2019,Honda,Civic,17475.00,Black,Black,"62,757",https://www.autotrader.com/cars-for-sale/vehicle/714702103,Austin Texas Cars And Trucks,5128450115,10500 INTERSTATE 35 FRONTAGE ROAD,78753
2HGFE2F27NH544497,2022,Honda,Civic,22000.00,Offwhite,Black,"39,224",https://www.autotrader.com/cars-for-sale/vehicle/728575858,Round Rock Honda,5129046900,2301 N INTERSTATE 35,78664
2HGFE2F50PH516134,2023,Honda,Civic,24500.00,Gray,Gray,"48,969",https://www.autotrader.com/cars-for-sale/vehicle/726779025,Seguin Chevrolet,8303034381,509 W IH 10,78155
19XFL1H7XRE019958,2024,Honda,Civic,27395.00,Black,Gray,"5,140",https://www.autotrader.com/cars-for-sale/vehicle/727877408,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
19XFB2F53DE257718,2013,Honda,Civic,9911.00,Blue,,"150,885",https://www.autotrader.com/cars-for-sale/vehicle/726292487,Hewlett Volkswagen,5126813500,7951 Hewlett Loop Road,78626
2HGFE2F54PH504438,2023,Honda,Civic,25795.00,Black,Black,"38,275",https://www.autotrader.com/cars-for-sale/vehicle/727860448,Bluebonnet Ford Lincoln,8306068500,351 IH 35 South,78130
2HGFE1F95NH309300,2022,Honda,Civic,25495.00,Black,Black,"40,388",https://www.autotrader.com/cars-for-sale/vehicle/724128527,Bluebonnet Ford Lincoln Pre-Owned Center,8306068011,1875 S Business Ih 35,78130
2HGFC3A5XKH750096,2019,Honda,Civic,23482.00,Offwhite,Black,"57,815",https://www.autotrader.com/cars-for-sale/vehicle/728366079,Nyle Maxwell CDJR of Taylor,5122185300,14150 Hwy 79 West,76574
SHHFK7H90JU223088,2018,Honda,Civic,22891.00,Silver,Black,"52,406",https://www.autotrader.com/cars-for-sale/vehicle/728630177,Round Rock Toyota,5128675398,2307 N INTERSTATE 35,78664
2HGFC4B08JH306545,2018,Honda,Civic,17948.00,Gray,Unavail,"50,051",https://www.autotrader.com/cars-for-sale/vehicle/729053364,Toyota Of North Austin,7378430244,8400 Research Boulevard,78758
SHHFK7H45MU233138,2021,Honda,Civic,24674.00,Black,Black,"19,840",https://www.autotrader.com/cars-for-sale/vehicle/726454968,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
SHHFK7H49JU235003,2018,Honda,Civic,15444.00,Black,Black,"117,641",https://www.autotrader.com/cars-for-sale/vehicle/727654743,Honda Leander,,9550 HIGHWAY 183A,78641
2HGFE2F53PH515088,2023,Honda,Civic,29278.00,Black,Black,"52,261",https://www.autotrader.com/cars-for-sale/vehicle/727310947,Honda of San Marcos,5123921313,4300 IH-35 SOUTH,78666
2HGFE2F5XPH561467,2023,Honda,Civic,25600.00,Silver,Black,"28,985",https://www.autotrader.com/cars-for-sale/vehicle/727836858,Round Rock Honda,5129046900,2301 N INTERSTATE 35,78664
2HGFG3B57FH533789,2015,Honda,Civic,8888.00,Gray,Gray,"96,660",https://www.autotrader.com/cars-for-sale/vehicle/725278690,Capitol Chevrolet,8339183855,6200 South  I-35,78745
SHHFK7H65LU209776,2020,Honda,Civic,19225.00,Offwhite,Black,"89,923",https://www.autotrader.com/cars-for-sale/vehicle/722282559,Austin Texas Cars And Trucks,5128450115,10500 INTERSTATE 35 FRONTAGE ROAD,78753
2HGFC2F61MH552649,2021,Honda,Civic,19795.00,Black,,"67,381",https://www.autotrader.com/cars-for-sale/vehicle/727061855,Bluebonnet Chrysler Dodge Ram Pre owned Center,,3566 N Interstate HWY 35,78132
19XFL2H56PE008893,2023,Honda,Civic,24195.00,Gray,Gray,"6,035",https://www.autotrader.com/cars-for-sale/vehicle/723577834,Henna Chevrolet,5128321888,8805 IH 35 N,78753
2HGFE2F26PH566705,2023,Honda,Civic,25279.00,Gray,Black,"4,357",https://www.autotrader.com/cars-for-sale/vehicle/727748133,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
SHHFK8G77KU201631,2019,Honda,Civic,37385.00,Blue,Red,"44,643",https://www.autotrader.com/cars-for-sale/vehicle/723567478,Continental Automotive Group: First Texas Honda,5122200995,3400 Steck Avenue,78757
1HGEJ8246WL093486,1998,Honda,Civic,5950.00,,Gray,"230,421",https://www.autotrader.com/cars-for-sale/vehicle/728885140,R & D Motors,5123025277,3421 North Lamar,78705
19XFB2F8XEE000566,2014,Honda,Civic,9800.00,White,Tan,"139,200",https://www.autotrader.com/cars-for-sale/vehicle/725813769,TMT Auto Sales,5129982199,10111 US HIGHWAY 183 S,78747
JHMFL5G40PX002709,2023,Honda,Civic,46910.00,Gray,Unavail,"7,026",https://www.autotrader.com/cars-for-sale/vehicle/728904449,Covert Hutto,5128452004,1200-A Highway 79 East,78634
2HGFC1E55JH705385,2018,Honda,Civic,22995.00,Black,Black,"50,550",https://www.autotrader.com/cars-for-sale/vehicle/727578731,Drive 512 Auto Ranch,5128287717,6219 S CONGRESS AVE,78745
2HGFG3B58EH523593,2014,Honda,Civic,12490.00,Black,Black,"98,889",https://www.autotrader.com/cars-for-sale/vehicle/728789291,Luxury Motorsports,5127964095,11817 BUCKNER RD,78726
